Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.157138,    12.8903,     8.06,     6.78,   -243.115,   -111.169, 0, 3, 3, 7.2 
Line.157142,    237.196,    37.24,    33.89,    4647.99,   -32.1961, 0, 656, 3, 7.2 
Line.157143,    221.981,    34.85,    31.71,    4327.94,   -181.048, 0, 646, 3, 7.2 
Line.157144,     217.35,    34.12,    31.05,    4229.92,   -230.686, 0, 628, 3, 7.2 
Line.157145,    221.981,    34.85,    31.71,    4327.27,   -183.434, 0, 646, 3, 7.2 
Line.157147,    2.58407,     1.21,     1.10,   -48.4541,   -22.9766, 0, 15, 3, 7.2 
Line.157148,    5.16701,     2.41,     2.20,   -96.9472,   -45.8034, 0, 18, 3, 7.2 
Line.157149,    5.16701,     3.23,     2.72,   -96.9476,   -45.8039, 0, 18, 3, 7.2 
Line.157150,    2.10616,     1.32,     1.11,    16.5631,    7.79172, 0, 4, 3, 7.2 
Line.157151,    1.85091,     1.16,     0.97,    11.6229,    5.36146, 0, 1, 3, 7.2 
Line.157152,    215.465,    33.82,    30.78,    4212.96,   -239.948, 0, 624, 3, 7.2 
Line.157153,    12.4896,     2.50,     2.27,   -78.2347,   -36.5574, 0, 24, 1, 7.2 
Line.157155,    12.4896,     7.81,     6.57,    78.2347,    36.5574, 0, 24, 1, 7.2 
Line.157156,      7.488,     4.68,     3.94,    46.9426,    21.8292, 0, 17, 1, 7.2 
Line.157157,    4.99196,     3.12,     2.63,    31.2936,    14.5504, 0, 11, 1, 7.2 
Line.157158,    2.49604,     1.56,     1.31,    15.6462,    7.27742, 0, 6, 1, 7.2 
Line.157159,    2.49591,     1.56,     1.31,    15.6464,    7.27231, 0, 5, 1, 7.2 
Line.157160,    213.366,    33.50,    30.48,    4134.14,   -278.648, 0, 600, 3, 7.2 
Line.157163,    2.58299,     0.52,     0.47,    48.4752,    22.7967, 0, 3, 3, 7.2 
Line.157165,    2.58299,     1.61,     1.36,    48.4754,    22.7968, 0, 3, 3, 7.2 
Line.157167,    2.58299,     1.21,     1.10,    48.4751,    22.7966, 0, 3, 3, 7.2 
Line.157168,    203.464,   127.16,   107.09,    3922.06,   -383.091, 0, 594, 3, 7.2 
Line.174945, 2.74298E-006,     0.00,     0.00, -6.87733E-011, -5.61834E-005, 0, 0, 3, 7.2 
Line.174947,    5.15457,     1.03,     0.94,    96.1953,    44.1907, 0, 3, 3, 7.2 
Line.174948,     19.643,     3.93,     3.57,    338.599,    156.346, 0, 141, 3, 7.2 
Line.174950,    31.9241,    19.95,    16.80,    543.539,    251.657, 0, 148, 3, 7.2 
Line.174951,    5.15457,     3.22,     2.71,    96.1959,     44.191, 0, 3, 3, 7.2 
Line.174952,    26.7695,    16.73,    14.09,    447.303,    207.446, 0, 145, 3, 7.2 
Line.174953,    26.7695,    11.90,    10.10,     447.22,    207.404, 0, 145, 3, 7.2 
Line.174954,    24.8379,    11.04,     9.37,    435.075,    201.865, 0, 144, 3, 7.2 
Line.174955,     19.643,     8.73,     7.41,    338.609,    156.354, 0, 141, 3, 7.2 
Line.174956,    5.15457,     2.41,     2.19,    96.1952,    44.1905, 0, 3, 3, 7.2 
Line.174957,    5.19496,     2.31,     1.96,    96.4607,    45.5065, 0, 3, 3, 7.2 
Line.174958,  0.0676108,     0.01,     0.01,   0.289195,    1.35773, 0, 0, 3, 7.2 
Line.174959,  0.0676108,     0.03,     0.03,   0.289195,    1.35773, 0, 0, 3, 7.2 
Line.174960,  0.0676109,     0.03,     0.03,   0.289195,    1.35773, 0, 0, 3, 7.2 
Line.174961,      18.72,     8.79,     8.00,     116.42,    53.5923, 0, 43, 1, 7.2 
Line.174962,    14.9689,     7.03,     6.40,    93.1068,    42.7854, 0, 35, 1, 7.2 
Line.174963,    12.4771,     5.86,     5.33,    77.5789,    35.7031, 0, 24, 1, 7.2 
Line.174964,    7.48403,     3.51,     3.20,    46.5509,    21.3745, 0, 13, 1, 7.2 
Line.174965,    4.99256,     2.34,     2.13,    31.0297,    14.3092, 0, 8, 1, 7.2 
Line.174966,    16.0625,     7.54,     6.86,    99.8055,     45.449, 0, 45, 1, 7.2 
Line.174967,    4.02228,     1.89,     1.72,    24.9583,    11.4537, 0, 9, 1, 7.2 
Line.174968,    4.02244,     1.89,     1.72,    24.9567,      11.46, 0, 11, 1, 7.2 
Line.174969,    8.01783,     3.76,     3.43,    49.8861,    22.5341, 0, 25, 1, 7.2 
Line.174970,    5.34518,     2.51,     2.28,    33.2562,    15.0208, 0, 16, 1, 7.2 
Line.174971,    2.67259,     1.25,     1.14,    16.6279,    7.51038, 0, 8, 1, 7.2 
Line.174972,    2.67259,     1.25,     1.14,    16.6279,    7.51035, 0, 8, 1, 7.2 
Line.174973,     19.643,     9.22,     8.39,    122.372,     57.302, 0, 53, 1, 7.2 
Line.174974,    15.7212,     7.38,     6.72,    97.8821,    45.8917, 0, 46, 1, 7.2 
Line.174975,    11.7988,     5.54,     5.04,    73.4411,    34.4712, 0, 31, 1, 7.2 
Line.174976,    2.60556,     1.22,     1.11,    16.2808,    7.47461, 0, 8, 1, 7.2 
Line.174977,    9.19334,     4.32,     3.93,    57.1546,     26.995, 0, 23, 1, 7.2 
Line.174978,    3.97279,     1.87,     1.70,    24.6024,    11.8659, 0, 12, 1, 7.2 
Line.174979,  0.0707076,     0.03,     0.03,   0.168693,   0.455924, 0, 0, 1, 7.2 
Line.174980,    31.9241,     5.01,     4.56,   -543.853,   -252.107, 0, 148, 3, 7.2 
Line.174981, 5.08335E-008,     0.00,     0.00, 2.64713E-009, -1.04045E-006, 0, 0, 3, 7.2 
Line.174982,    31.9241,     5.01,     4.56,    -543.96,   -252.498, 0, 148, 3, 7.2 
Line.174983,    110.022,    17.27,    15.72,   -2185.13,    109.422, 0, 289, 3, 7.2 
Line.174984, 2.30509E-007,     0.00,     0.00, -5.08099E-010, -4.72394E-006, 0, 0, 3, 7.2 
Line.174987,    82.7893,    13.00,    11.83,    1641.16,   -361.934, 0, 141, 3, 7.2 
Line.174988,    48.8178,     7.66,     6.97,    560.197,   -826.435, 0, 129, 3, 7.2 
Line.174989,    7.68099,     1.21,     1.10,    112.022,    53.0157, 0, 7, 3, 7.2 
Line.174990,    57.2776,     8.99,     8.18,    1080.85,    464.088, 0, 12, 3, 7.2 
Line.174991, 7.49874E-008,     0.00,     0.00, 9.01977E-010, -1.53833E-006, 0, 0, 3, 7.2 
Line.174994,    20.0799,     4.02,     3.65,     124.85,    57.0391, 0, 44, 1, 7.2 
Line.174995,    110.022,    17.27,    15.72,   -2185.54,     108.41, 0, 289, 3, 7.2 
Line.174998,    125.686,    19.73,    17.96,   -2507.91,   -35.5568, 0, 292, 3, 7.2 
Line.174999,    125.686,    19.73,    17.96,   -2511.25,   -37.7626, 0, 293, 3, 7.2 
Line.175000,    20.0799,    12.55,    10.57,    124.856,    57.0422, 0, 44, 1, 7.2 
Line.175001,  0.0676927,     0.01,     0.01,  -0.289855,   -1.36083, 0, 0, 3, 7.2 
Line.175002,    7.68099,     4.80,     4.04,    112.022,    53.0153, 0, 7, 3, 7.2 
Line.175003,    5.19896,     3.25,     2.74,    96.4557,    46.0152, 0, 6, 3, 7.2 
Line.175004,  0.0676926,     0.04,     0.04,   0.289855,    1.36083, 0, 0, 3, 7.2 
Line.175005,  0.0676927,     0.03,     0.03,   0.289855,    1.36083, 0, 0, 3, 7.2 
Line.175006,    14.7456,     2.95,     2.68,     91.617,    42.0655, 0, 42, 1, 7.2 
Line.175007,    137.651,    21.61,    19.66,   -2706.21,   -127.756, 0, 369, 3, 7.2 
Line.175008,    144.127,    22.63,    20.59,   -2706.41,    961.789, 0, 369, 3, 7.2 
Line.175009,    14.7456,     9.22,     7.76,    91.6194,    42.0667, 0, 42, 1, 7.2 
Line.175010,    14.9922,     7.04,     6.41,    93.2773,    43.2495, 0, 40, 1, 7.2 
Line.175011,    2.49249,     1.17,     1.07,    15.5423,    7.11097, 0, 7, 1, 7.2 
Line.175013,    12.4997,     5.87,     5.34,    77.7247,    36.1358, 0, 33, 1, 7.2 
Line.175014,    3.75251,     1.76,     1.60,     23.325,    10.8656, 0, 11, 1, 7.2 
Line.175015,     8.7472,     4.11,     3.74,    54.3982,    25.2697, 0, 22, 1, 7.2 
Line.175016,     3.7525,     1.76,     1.60,    23.3245,    10.8649, 0, 11, 1, 7.2 
Line.175017,     4.9947,     2.34,     2.13,    31.0723,    14.4044, 0, 11, 1, 7.2 
Line.175018,    2.49253,     1.17,     1.07,   -15.5407,    -7.1121, 0, 8, 1, 7.2 
Line.175019,    3.75259,     1.76,     1.60,    23.3231,     10.868, 0, 13, 1, 7.2 
Line.175020,    6.24508,     2.93,     2.67,   -38.8639,   -17.9801, 0, 21, 1, 7.2 
Line.175021,    11.2398,     5.28,     4.80,   -69.9373,   -32.3851, 0, 32, 1, 7.2 
Line.175022,    14.7456,     6.92,     6.30,    91.6167,    42.0649, 0, 42, 1, 7.2 
Line.175023,    20.0799,     9.43,     8.58,    124.849,    57.0379, 0, 44, 1, 7.2 
Line.175024,    14.7241,     6.91,     6.29,    91.5569,    41.7828, 0, 33, 1, 7.2 
Line.175025,    10.7011,     5.02,     4.57,     66.563,    30.2885, 0, 23, 1, 7.2 
Line.175026,     5.3454,     2.51,     2.28,    33.2888,    15.0381, 0, 10, 1, 7.2 
Line.175027,    2.67255,     1.25,     1.14,    16.6451,    7.51276, 0, 4, 1, 7.2 
Line.175029,    13.4018,     6.29,     5.73,   -83.2373,   -38.2312, 0, 31, 1, 7.2 
Line.175030,    13.4018,     6.29,     5.73,    83.2373,    38.2312, 0, 31, 1, 7.2 
Line.175031,    5.35552,     2.51,     2.29,    33.2778,    15.2427, 0, 10, 1, 7.2 
Line.175032,    8.04632,     3.78,     3.44,    49.9578,     22.988, 0, 21, 1, 7.2 
Line.175033,    4.02312,     1.89,     1.72,    24.9789,    11.4923, 0, 10, 1, 7.2 
Line.175034,    20.0521,     4.01,     3.65,   -347.872,   -171.272, 0, 15, 3, 7.2 
Line.175035,   0.678065,     0.14,     0.12,    2.99504,    13.6171, 0, 0, 3, 7.2 
Line.175036,    17.1733,     3.43,     3.12,    321.025,    146.678, 0, 6, 3, 7.2 
Line.175037,    155.353,    24.39,    22.19,   -2891.55,    875.597, 0, 451, 3, 7.2 
Line.175038,    20.0521,     3.15,     2.86,    347.875,    171.279, 0, 15, 3, 7.2 
Line.175040,   0.678065,     0.42,     0.36,    2.99506,    13.6171, 0, 0, 3, 7.2 
Line.175041,    19.6381,    12.27,    10.34,    344.837,    157.634, 0, 15, 3, 7.2 
Line.175042,    18.4836,    11.55,     9.73,    329.261,    150.516, 0, 10, 3, 7.2 
Line.175043,    1.31035,     0.82,     0.69,     8.1827,    3.81167, 0, 4, 3, 7.2 
Line.175044,    17.1733,    10.73,     9.04,    321.036,    146.683, 0, 6, 3, 7.2 
Line.175045,    1.31035,     0.82,     0.69,    8.18267,    3.81165, 0, 4, 1, 7.2 
Line.175046, 8.64216E-008,     0.00,     0.00, -2.55562E-011, -5.95344E-007, 0, 0, 1, 7.2 
Line.175047,    17.1733,     8.02,     7.31,    321.023,    146.675, 0, 6, 3, 7.2 
Line.175048,   0.678065,     0.32,     0.29,    2.99504,    13.6171, 0, 0, 3, 7.2 
Line.175049,    169.113,    26.55,    24.16,    -3239.7,    703.295, 0, 466, 3, 7.2 
Line.175051,     40.156,     6.30,     5.74,    647.705,    299.199, 0, 128, 3, 7.2 
Line.175052,    56.4895,    11.30,    10.27,    1064.01,      456.1, 0, 9, 3, 7.2 
Line.175053,    57.2776,    35.80,    30.15,    1080.84,    464.035, 0, 12, 3, 7.2 
Line.175054,    57.2776,    35.80,    30.15,    1080.32,    463.662, 0, 12, 3, 7.2 
Line.175055,    56.4895,    35.31,    29.73,    1065.53,    456.858, 0, 9, 3, 7.2 
Line.175056,    56.4895,    26.40,    24.04,    1063.99,    456.071, 0, 9, 3, 7.2 
Line.175057,    51.3375,    23.99,    21.85,    967.857,     412.01, 0, 6, 3, 7.2 
Line.175058,    17.1439,     8.01,     7.30,    321.456,    141.962, 0, 3, 3, 7.2 
Line.175059,    34.1959,    15.98,    14.55,    646.354,    270.012, 0, 3, 3, 7.2 
Line.175060,    48.1824,     7.56,     6.88,     448.17,   -879.468, 0, 122, 3, 7.2 
Line.175061,     26.366,     5.27,     4.79,    448.088,    209.936, 0, 122, 3, 7.2 
Line.175062,    26.3487,     5.27,     4.79,    447.954,    209.635, 0, 122, 3, 7.2 
Line.175063,    26.3487,     5.27,     4.79,    447.868,    209.439, 0, 122, 3, 7.2 
Line.175064,    26.3487,     5.27,     4.79,    447.846,    209.393, 0, 122, 3, 7.2 
Line.175065, 1.79057E-007,     0.00,     0.00, 1.54222E-009, 3.66897E-006, 0, 0, 3, 7.2 
Line.175066,  0.0230881,     0.00,     0.00,  -0.185073,  -0.435332, 0, 0, 3, 7.2 
Line.175067,   0.023088,     0.00,     0.00,   0.185073,    0.43533, 0, 0, 3, 7.2 
Line.175068,  0.0230881,     0.00,     0.00,   0.185073,   0.435332, 0, 0, 3, 7.2 
Line.175069, 1.79157E-007,     0.00,     0.00, -3.16456E-010, -3.67079E-006, 0, 0, 3, 7.2 
Line.175070, 2.93376E-007,     0.00,     0.00, -1.74981E-009, -6.01224E-006, 0, 0, 3, 7.2 
Line.175071,    26.3315,     5.27,     4.79,     447.64,    208.913, 0, 122, 3, 7.2 
Line.175072,    3.92251,     0.78,     0.71,    72.5575,    33.7679, 0, 9, 3, 7.2 
Line.175074,    3.92251,     2.45,     2.06,    72.5578,     33.768, 0, 9, 3, 7.2 
Line.175075,    3.92251,     2.45,     2.06,    72.5574,    33.7676, 0, 9, 3, 7.2 
Line.175078, 8.54587E-008,     0.00,     0.00, -3.22681E-008, -1.74576E-006, 0, 0, 3, 7.2 
Line.175079,     22.409,     4.48,     4.07,   -374.912,   -175.031, 0, 113, 3, 7.2 
Line.175080,     22.409,    14.01,    11.79,    375.069,    175.115, 0, 113, 3, 7.2 
Line.175081, 8.77325E-008,     0.00,     0.00, 3.12772E-008, 1.7702E-006, 0, 0, 3, 7.2 
Line.175082,     22.409,    14.01,    11.79,    374.966,    175.064, 0, 113, 3, 7.2 
Line.175083,     22.409,    14.01,    11.79,    374.941,    175.051, 0, 113, 3, 7.2 
Line.175084,     22.409,    14.01,    11.79,    374.912,    175.031, 0, 113, 3, 7.2 
Line.175085,     22.409,    14.01,    11.79,    374.841,    174.882, 0, 113, 3, 7.2 
Line.175086,    21.6208,    13.51,    11.38,    360.181,    168.143, 0, 110, 3, 7.2 
Line.175087,    20.8327,    13.02,    10.96,    345.467,     161.38, 0, 107, 3, 7.2 
Line.175088,    6.00751,     3.75,     3.16,    47.2051,    21.7998, 0, 8, 3, 7.2 
Line.175089,    5.21938,     3.26,     2.75,    32.5725,    15.0796, 0, 5, 3, 7.2 
Line.175090,     2.5804,     0.52,     0.47,    48.0515,     22.318, 0, 18, 3, 7.2 
Line.175091,    18.2761,    11.42,     9.62,    298.203,     139.55, 0, 99, 3, 7.2 
Line.175092,     2.5804,     1.61,     1.36,    48.0518,    22.3182, 0, 18, 3, 7.2 
Line.175093,    15.6991,     9.81,     8.26,    250.115,    117.213, 0, 81, 3, 7.2 
Line.175094,     2.5804,     1.21,     1.10,    48.0515,    22.3179, 0, 18, 3, 7.2 
Line.175098, 6.67967E-008,     0.00,     0.00, 1.36599E-010, -1.36843E-006, 0, 0, 3, 7.2 
Line.182901,    11.6777,     2.34,     2.12,   -216.449,   -100.806, 0, 72, 3, 7.2 
Line.182907,    14.3181,     4.03,     3.43,   -233.086,   -108.296, 0, 77, 3, 7.2 
Line.182908,  0.0877483,     0.02,     0.02,   0.375085,   0.937519, 0, 0, 3, 7.2 
Line.182909,    14.3398,     4.04,     3.43,   -233.491,   -109.249, 0, 77, 3, 7.2 
Line.182910,  0.0230515,     0.01,     0.01,   0.184539,   0.434076, 0, 0, 3, 7.2 
Line.182911,    11.6777,     5.46,     4.97,    216.449,    100.806, 0, 72, 3, 7.2 
Line.182912,    10.3681,     4.84,     4.41,    192.129,    89.6165, 0, 60, 3, 7.2 
Line.182913,    1.34298,     0.63,     0.57,    24.2853,    11.1626, 0, 12, 3, 7.2 
Line.182914,    5.15772,     2.41,     2.19,    95.9208,    44.6483, 0, 24, 3, 7.2 
Line.182915,    5.21043,     2.43,     2.22,    96.2047,    44.9651, 0, 36, 3, 7.2 
Line.182916,    2.58004,     1.21,     1.10,    48.0114,     22.263, 0, 24, 3, 7.2 
Line.183044,    18.7382,     3.75,     3.41,   -214.398,   -98.8449, 0, 53, 2, 7.2 
Line.183045,    33.6999,     6.74,     6.13,   -433.266,   -200.269, 0, 75, 3, 7.2 
Line.183046,     40.156,     8.03,     7.30,    647.672,    299.127, 0, 128, 3, 7.2 
Line.183048,     40.156,     7.74,     6.51,    647.693,    299.157, 0, 128, 3, 7.2 
Line.184239,    9.25642,     4.35,     3.96,    57.4222,    27.7357, 0, 14, 1, 7.2 
Line.184240,     9.1448,     4.29,     3.91,    57.0908,    26.6367, 0, 14, 1, 7.2 
Line.184241,    3.92328,     1.84,     1.68,    24.4761,    11.4624, 0, 8, 1, 7.2 
Line.184242,    9.98684,     4.69,     4.27,    62.1698,     28.714, 0, 11, 1, 7.2 
Line.184243,    4.99319,     2.34,     2.13,    31.0851,    14.3478, 0, 5, 1, 7.2 
Line.184244,    14.9811,     7.03,     6.40,   -93.2467,   -43.1022, 0, 19, 1, 7.2 
Line.184245,    14.4776,     6.80,     6.19,    90.0499,    42.9152, 0, 20, 1, 7.2 
Line.184246,    13.7263,     6.44,     5.87,    85.6169,    39.0914, 0, 11, 1, 7.2 
Line.184247,    8.73226,     4.10,     3.73,     54.537,    24.7058, 0, 3, 1, 7.2 
Line.184248,    3.74931,     1.76,     1.60,    23.3512,    10.7468, 0, 2, 1, 7.2 
Line.184249,    16.0625,     7.54,     6.86,     99.924,     45.585, 0, 14, 1, 7.2 
Line.184250,     10.708,     5.03,     4.58,    66.6147,    30.3788, 0, 9, 1, 7.2 
Line.184251,    5.35438,     2.51,     2.29,    33.3028,    15.2029, 0, 5, 1, 7.2 
Line.184252,    21.4178,    10.06,     9.15,   -133.221,   -60.8243, 0, 21, 1, 7.2 
Line.184253,    18.7189,     8.79,     8.00,   -116.709,   -53.4165, 0, 15, 1, 7.2 
Line.184254,    5.35549,     2.51,     2.29,   -33.2913,   -15.2451, 0, 8, 1, 7.2 
Line.184255,    10.7104,     5.03,     4.58,   -66.5892,   -30.4672, 0, 14, 1, 7.2 
Line.184256,    13.3823,     6.28,     5.72,    -83.254,   -37.9591, 0, 16, 1, 7.2 
Line.184257,    18.7382,     8.80,     8.01,   -116.549,    -53.224, 0, 26, 1, 7.2 
Line.184258,    5.22234,     2.45,     2.23,   -32.6052,   -15.2032, 0, 9, 1, 7.2 
Line.184259,    10.4449,     4.90,     4.46,   -65.2096,   -30.4133, 0, 19, 1, 7.2 
Line.184260,    15.6671,     7.36,     6.70,   -97.8244,   -45.6144, 0, 27, 1, 7.2 
Line.202135,    274.512,    43.09,    39.22,    5464.78,     405.67, 0, 864, 3, 7.2 
Line.211128,    3.91941,     2.45,     2.06,    72.4496,    33.4703, 0, 9, 3, 7.2 
Line.215299,    276.938,    43.68,    39.51,    5518.11,    440.333, 0, 867, 3, 7.2 
Line.216919,   0.528069,     0.33,     0.28,    3.28775,    1.54072, 0, 2, 1, 7.2 
Line.216920,    1.35934,     0.38,     0.33,    8.52956,    4.20587, 0, 1, 3, 7.2 
Line.216925,    15.6991,     9.81,     8.26,   -246.736,   -115.627, 0, 79, 3, 7.2 
Line.223551,    2.58051,     0.52,     0.47,     48.106,    22.3203, 0, 6, 3, 7.2 
Line.223584,    2.58051,     1.61,     1.36,    -48.106,   -22.3203, 0, 6, 3, 7.2 
Line.223585,    2.58051,     1.21,     1.10,     48.106,    22.3202, 0, 6, 3, 7.2 
Line.223586,   0.528069,     0.33,     0.28,    3.28775,    1.54071, 0, 2, 1, 7.2 
Line.235185,    5.15993,     2.41,     2.20,    96.0318,    44.5064, 0, 36, 3, 7.2 
Line.235186,  0.0578835,     0.04,     0.03,  -0.147163,  -0.367886, 0, 0, 1, 7.2 
Line.235187,  0.0578835,     0.02,     0.01,  -0.147164,  -0.367886, 0, 0, 3, 7.2 
Line.235748,     16.002,    10.00,     8.42,   -295.038,   -135.789, 0, 7, 3, 7.2 
Line.236614,   0.528069,     0.11,     0.10,    3.28775,    1.54071, 0, 2, 1, 7.2 
Line.239659,    14.9922,     3.00,     2.73,    93.2777,    43.2502, 0, 40, 1, 7.2 
Line.239660,    14.9922,     9.37,     7.89,    93.2813,     43.252, 0, 40, 1, 7.2 
Line.239661,    11.2398,     2.25,     2.04,    69.9479,    32.3883, 0, 32, 1, 7.2 
Line.239662,    11.2398,     7.02,     5.92,   -69.9479,   -32.3883, 0, 32, 1, 7.2 
Line.239739,    276.938,    43.48,    39.56,     5515.4,    435.845, 0, 867, 3, 7.2 
Line.241080,    18.9398,    11.84,     9.97,    355.763,    168.781, 0, 174, 3, 7.2 
Line.241081,    20.2739,     4.05,     3.69,     380.33,    180.361, 0, 180, 3, 7.2 
Line.246177,    2.58458,     0.41,     0.37,    48.7268,    23.2174, 0, 3, 3, 7.2 
Line.246178,    276.938,    55.39,    50.35,    5515.61,    436.056, 0, 867, 3, 7.2 
Line.246179,    2.58458,     1.21,     1.10,    48.7267,     23.217, 0, 3, 3, 7.2 
Line.246180,    276.938,    43.68,    39.51,    5516.69,    437.983, 0, 867, 3, 7.2 
Line.249319, 6.77529E-008,     0.00,     0.00, 7.38533E-009, 1.37419E-006, 0, 0, 3, 7.2 
Line.254077,    276.938,    55.39,    50.35,   -5516.69,   -437.983, 0, 867, 3, 7.2 
Line.255376,    110.022,    22.00,    20.00,    2185.54,    -108.41, 0, 289, 3, 7.2 
Line.255377,    110.022,    22.00,    20.00,   -2185.24,    109.009, 0, 289, 3, 7.2 
Line.255381,    31.9241,    19.95,    16.80,     543.74,     252.05, 0, 148, 3, 7.2 
Line.255389, 7.63222E-008,     0.00,     0.00, -1.76869E-008, -1.55973E-006, 0, 0, 3, 7.2 
Line.255390, 7.63075E-008,     0.00,     0.00, -1.86498E-008, -1.5588E-006, 0, 0, 3, 7.2 
Line.255391, 7.64619E-008,     0.00,     0.00, -1.73464E-008, -1.5607E-006, 0, 0, 3, 7.2 
Line.255461,    12.4896,     7.81,     6.57,    78.2426,    36.5617, 0, 24, 1, 7.2 
Line.255469,    20.0521,    12.53,    10.55,   -347.832,   -171.251, 0, 15, 3, 7.2 
Line.255471,    17.1496,     3.43,     3.12,    322.095,    142.938, 0, 3, 3, 7.2 
Line.255472,    17.1496,     8.01,     7.30,   -322.079,   -142.924, 0, 3, 3, 7.2 
Line.255473,    17.1496,     2.69,     2.45,    322.096,    142.941, 0, 3, 3, 7.2 
Line.261180,     16.391,    10.24,     8.63,    308.034,    145.889, 0, 12, 3, 7.2 
Line.261181,     16.002,     3.20,     2.91,    295.046,    135.795, 0, 7, 3, 7.2 
Line.261184,     16.002,    10.00,     8.42,    295.082,    135.812, 0, 7, 3, 7.2 
Line.261185,    5.16701,     1.03,     0.94,    96.9476,    45.8039, 0, 18, 3, 7.2 
Line.261249, 6.98492E-010,     0.00,     0.00, -6.8582E-009, 6.9449E-009, 0, 0, 3, 7.2 
Line.262345,    31.9241,    19.95,    16.80,    -543.74,    -252.05, 0, 148, 3, 7.2 
Line.272824,    13.4192,     8.39,     7.06,   -246.447,   -112.756, 0, 4, 3, 7.2 
Line.274465,    273.333,    42.91,    39.05,    5404.68,    335.351, 0, 859, 3, 7.2 
Line.275695,    11.6777,     3.29,     2.79,    -216.45,   -100.809, 0, 72, 3, 7.2 
Line.279294,    2.58287,     0.52,     0.47,   -48.4946,   -22.8296, 0, 3, 3, 7.2 
Line.279295,     16.002,    10.00,     8.42,   -294.956,   -135.593, 0, 7, 3, 7.2 
Line.279296,    2.58287,     1.61,     1.36,    48.4948,    22.8297, 0, 3, 3, 7.2 
Line.279297,    2.58287,     1.61,     1.36,    48.4946,    22.8296, 0, 3, 3, 7.2 
Line.280750,   0.753959,     0.15,     0.14,      4.689,    2.15753, 0, 1, 1, 7.2 
Line.280751,   0.753959,     0.47,     0.40,    4.68901,    2.15753, 0, 1, 1, 7.2 
Line.280752,   0.753959,     0.47,     0.40,      4.689,    2.15752, 0, 1, 1, 7.2 
Line.282085,    5.16162,     3.23,     2.72,    97.0783,    45.6322, 0, 3, 3, 7.2 
Line.282086,    8.61654,     1.72,     1.57,   -161.503,   -77.4519, 0, 168, 3, 7.2 
Line.282088,    8.61654,     4.05,     3.68,    161.503,    77.4519, 0, 168, 3, 7.2 
Line.282435,    205.735,    32.30,    29.39,    3971.71,   -355.981, 0, 597, 3, 7.2 
Line.282436,    8.60076,     1.72,     1.56,    161.795,    75.0306, 0, 3, 3, 7.2 
Line.282437,    8.60076,     5.38,     4.53,    161.807,    75.0366, 0, 3, 3, 7.2 
