Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Line.LN5894230-1,    1.44774,    69.89,          0,     0.00,          0,     0.00,          0,     0.00,    1.44774,    69.89,    1.44831,  -110.19,          0,     0.00,          0,     0.00,          0,     0.00,    1.44831,  -110.19,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683858-3,    2.60563,   -59.56,    4.17345,   178.89,    2.93607,    64.90,          0,     0.00,    1.68129,   162.95,    2.60576,   120.43,     4.1736,    -1.11,    2.93615,  -115.10,          0,     0.00,    1.68129,   -17.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5920279-5,    349.418,   -49.44,    325.725,  -171.06,    224.943,    79.40,          0,     0.00,    108.838,  -119.23,    349.418,   130.56,    325.725,     8.94,    224.943,  -100.60,          0,     0.00,    108.838,    60.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6439600-1,     1.2976,   -59.58,          0,     0.00,          0,     0.00,          0,     0.00,     1.2976,   -59.58,    1.29808,   120.34,          0,     0.00,          0,     0.00,          0,     0.00,    1.29808,   120.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5589097-1,    1.96569,   -53.68,          0,     0.00,          0,     0.00,          0,     0.00,    1.96569,   -53.68,     1.9658,   126.31,          0,     0.00,          0,     0.00,          0,     0.00,     1.9658,   126.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5651975-1,     61.691,   -59.44,    14.8679,   179.20,    33.1707,    65.02,          0,     0.00,    38.1125,   -36.83,    61.6913,   120.56,    14.8682,    -0.81,    33.1708,  -114.98,          0,     0.00,    38.1125,   143.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865236-1,    2.54673,   -59.03,          0,     0.00,          0,     0.00,          0,     0.00,    2.54673,   -59.03,    2.54677,   120.97,          0,     0.00,          0,     0.00,          0,     0.00,    2.54677,   120.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593232-1,    1.44067,    65.58,          0,     0.00,          0,     0.00,          0,     0.00,    1.44067,    65.58,    1.44133,  -114.52,          0,     0.00,          0,     0.00,          0,     0.00,    1.44133,  -114.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5740283-1,    1.71475,    67.19,          0,     0.00,          0,     0.00,          0,     0.00,    1.71475,    67.19,    1.71478,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,    1.71478,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6106559-1,     3.9439,   179.79,          0,     0.00,          0,     0.00,          0,     0.00,     3.9439,   179.79,    3.94435,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,    3.94435,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714056-3,    51.8365,   -59.48,    11.4091,   179.13,    25.3615,    65.01,          0,     0.00,    33.4522,   -39.98,    51.8374,   120.52,    11.4101,    -0.89,    25.3621,  -115.00,          0,     0.00,    33.4522,   140.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5985355-3,    55.5565,   179.85,          0,     0.00,          0,     0.00,          0,     0.00,    55.5565,   179.85,    55.5568,    -0.15,          0,     0.00,          0,     0.00,          0,     0.00,    55.5568,    -0.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531956-1,    1.28888,   -58.00,          0,     0.00,          0,     0.00,          0,     0.00,    1.28888,   -58.00,    1.28918,   121.95,          0,     0.00,          0,     0.00,          0,     0.00,    1.28918,   121.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5650048-1,    1.40786,   179.81,          0,     0.00,          0,     0.00,          0,     0.00,    1.40786,   179.81,    1.40814,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.40814,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6290203-1,    21.9619,   -59.04,    54.8019,   178.16,    39.1349,    64.20,          0,     0.00,      32.08,   145.51,    21.9626,   120.96,    54.8027,    -1.85,    39.1354,  -115.80,          0,     0.00,      32.08,   -34.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6134414-1,    2.84596,    65.74,          0,     0.00,          0,     0.00,          0,     0.00,    2.84596,    65.74,    2.84624,  -114.28,          0,     0.00,          0,     0.00,          0,     0.00,    2.84624,  -114.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259998-2,    1.73205,    64.80,          0,     0.00,          0,     0.00,          0,     0.00,    1.73205,    64.80,    1.73211,  -115.20,          0,     0.00,          0,     0.00,          0,     0.00,    1.73211,  -115.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6078767-1,    106.827,   -30.83,    126.105,  -155.63,    155.305,    82.12,          0,     0.00,    47.1024,    92.26,    106.827,   149.17,    126.105,    24.36,    155.305,   -97.88,          0,     0.00,    47.1023,   -87.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6017300-1,   0.860156,    65.56,          0,     0.00,          0,     0.00,          0,     0.00,   0.860156,    65.56,   0.860553,  -114.54,          0,     0.00,          0,     0.00,          0,     0.00,   0.860553,  -114.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8979257-2,    1.35555,   -55.06,    1.44659,  -176.08,    1.43245,    67.13,          0,     0.00,   0.155568,   135.10,    1.35598,   124.87,    1.44704,     3.85,    1.43292,  -112.94,          0,     0.00,    0.15552,   -44.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81048109-1,    4.39008,  -176.11,          0,     0.00,          0,     0.00,          0,     0.00,    4.39008,  -176.11,    4.39196,     3.80,          0,     0.00,          0,     0.00,          0,     0.00,    4.39196,     3.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.293471,    1.29057,   -55.71,    1.42655,  -176.64,    1.44258,    65.00,          0,     0.00,   0.180005,   118.98,    1.29079,   124.26,     1.4268,     3.33,    1.44275,  -115.04,          0,     0.00,   0.179977,   -61.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534965-2,    1.27655,   -59.31,          0,     0.00,          0,     0.00,          0,     0.00,    1.27655,   -59.31,    1.27658,   120.68,          0,     0.00,          0,     0.00,          0,     0.00,    1.27658,   120.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5655683-1,     20.447,   -59.54,          0,     0.00,          0,     0.00,          0,     0.00,     20.447,   -59.54,     20.447,   120.46,          0,     0.00,          0,     0.00,          0,     0.00,     20.447,   120.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5686247-1,     1.9913,  -174.18,          0,     0.00,          0,     0.00,          0,     0.00,     1.9913,  -174.18,    1.99133,     5.81,          0,     0.00,          0,     0.00,          0,     0.00,    1.99133,     5.81,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048642-1, 0.00189623,   -69.37,          0,     0.00,          0,     0.00,          0,     0.00, 0.00189623,   -69.37, 7.49989E-012,  -165.96,          0,     0.00,          0,     0.00,          0,     0.00, 7.49989E-012,  -165.96,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5928544-3,    14.5256,    64.45,          0,     0.00,          0,     0.00,          0,     0.00,    14.5256,    64.45,    14.5258,  -115.56,          0,     0.00,          0,     0.00,          0,     0.00,    14.5258,  -115.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108172-1,    2.59402,   -59.54,          0,     0.00,          0,     0.00,          0,     0.00,    2.59402,   -59.54,    2.59497,   120.38,          0,     0.00,          0,     0.00,          0,     0.00,    2.59497,   120.38,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532754-1,    56.9724,   -59.46,    14.8723,   179.14,    27.6839,    65.04,          0,     0.00,    35.0385,   -42.67,    56.9725,   120.54,    14.8725,    -0.86,     27.684,  -114.96,          0,     0.00,    35.0385,   137.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5591834-1,    3.71984,    67.55,          0,     0.00,          0,     0.00,          0,     0.00,    3.71984,    67.55,    3.72017,  -112.47,          0,     0.00,          0,     0.00,          0,     0.00,    3.72017,  -112.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6347196-2,    28.0247,   -59.47,    10.5807,   179.11,    25.3629,    64.99,          0,     0.00,    14.4158,    -3.94,    28.0249,   120.53,    10.5809,    -0.89,     25.363,  -115.01,          0,     0.00,    14.4158,   176.06,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532741-1,    8.97577,    66.51,          0,     0.00,          0,     0.00,          0,     0.00,    8.97577,    66.51,    8.97604,  -113.49,          0,     0.00,          0,     0.00,          0,     0.00,    8.97604,  -113.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804803-1,   0.776106,   -55.26,          0,     0.00,          0,     0.00,          0,     0.00,   0.776106,   -55.26,   0.777424,   124.37,          0,     0.00,          0,     0.00,          0,     0.00,   0.777424,   124.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169248-1,    111.687,   -59.68,    74.5324,   178.17,    45.2696,    64.83,          0,     0.00,     53.074,   -88.77,    111.688,   120.32,    74.5332,    -1.83,    45.2701,  -115.17,          0,     0.00,     53.074,    91.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532786-2,    2.25412,   178.38,          0,     0.00,          0,     0.00,          0,     0.00,    2.25412,   178.38,     2.2542,    -1.63,          0,     0.00,          0,     0.00,          0,     0.00,     2.2542,    -1.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744339-1,    16.5252,   -55.63,          0,     0.00,          0,     0.00,          0,     0.00,    16.5252,   -55.63,    16.5256,   124.36,          0,     0.00,          0,     0.00,          0,     0.00,    16.5256,   124.36,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531255-3,    16.9807,   -59.78,          0,     0.00,          0,     0.00,          0,     0.00,    16.9807,   -59.78,    16.9809,   120.22,          0,     0.00,          0,     0.00,          0,     0.00,    16.9809,   120.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926308-2,    40.3738,   -55.58,    49.1129,  -176.76,    19.1693,    65.20,          0,     0.00,    26.0583,  -134.21,    40.3741,   124.42,    49.1132,     3.24,    19.1695,  -114.80,          0,     0.00,    26.0583,    45.79,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683856-3,     1.2746,   -59.35,          0,     0.00,          0,     0.00,          0,     0.00,     1.2746,   -59.35,    1.27472,   120.63,          0,     0.00,          0,     0.00,          0,     0.00,    1.27472,   120.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6171502-1,    2.03682,   -59.27,          0,     0.00,          0,     0.00,          0,     0.00,    2.03682,   -59.27,    2.03686,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,    2.03686,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593228-1,    1.40295,   178.03,          0,     0.00,          0,     0.00,          0,     0.00,    1.40295,   178.03,    1.40323,    -2.01,          0,     0.00,          0,     0.00,          0,     0.00,    1.40323,    -2.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6380800-1,    1.41459,   177.91,          0,     0.00,          0,     0.00,          0,     0.00,    1.41459,   177.91,    1.41486,    -2.13,          0,     0.00,          0,     0.00,          0,     0.00,    1.41486,    -2.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6199525-2,   0.519138,   -55.60,          0,     0.00,          0,     0.00,          0,     0.00,   0.519138,   -55.60,   0.519452,   124.27,          0,     0.00,          0,     0.00,          0,     0.00,   0.519452,   124.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5772710-2,    10.2269,   -59.71,          0,     0.00,          0,     0.00,          0,     0.00,    10.2269,   -59.71,    10.2273,   120.28,          0,     0.00,          0,     0.00,          0,     0.00,    10.2273,   120.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8961760-1,    5.02328,    64.98,          0,     0.00,          0,     0.00,          0,     0.00,    5.02328,    64.98,    5.02338,  -115.02,          0,     0.00,          0,     0.00,          0,     0.00,    5.02338,  -115.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6047556-1,    1.42322,    65.71,          0,     0.00,          0,     0.00,          0,     0.00,    1.42322,    65.71,    1.42376,  -114.37,          0,     0.00,          0,     0.00,          0,     0.00,    1.42376,  -114.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138603-1,    2.23701,   178.17,          0,     0.00,          0,     0.00,          0,     0.00,    2.23701,   178.17,    2.23758,    -1.88,          0,     0.00,          0,     0.00,          0,     0.00,    2.23758,    -1.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108139-1,   0.861815,   177.95,          0,     0.00,          0,     0.00,          0,     0.00,   0.861815,   177.95,   0.861898,    -2.07,          0,     0.00,          0,     0.00,          0,     0.00,   0.861898,    -2.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6388581-2,   0.780988,   -59.22,          0,     0.00,          0,     0.00,          0,     0.00,   0.780988,   -59.22,   0.781226,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,   0.781226,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774460-1,   0.779427,   -59.63,          0,     0.00,          0,     0.00,          0,     0.00,   0.779427,   -59.63,   0.779696,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,   0.779696,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5624387-1,    2.19072,    66.56,          0,     0.00,          0,     0.00,          0,     0.00,    2.19072,    66.56,    2.19096,  -113.47,          0,     0.00,          0,     0.00,          0,     0.00,    2.19096,  -113.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6137087-1,    11.5622,    65.53,          0,     0.00,          0,     0.00,          0,     0.00,    11.5622,    65.53,    11.5623,  -114.47,          0,     0.00,          0,     0.00,          0,     0.00,    11.5623,  -114.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077809-1,    14.5578,    64.56,          0,     0.00,          0,     0.00,          0,     0.00,    14.5578,    64.56,    14.5583,  -115.45,          0,     0.00,          0,     0.00,          0,     0.00,    14.5583,  -115.45,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6440079-1,    3.72017,    67.53,          0,     0.00,          0,     0.00,          0,     0.00,    3.72017,    67.53,    3.72041,  -112.48,          0,     0.00,          0,     0.00,          0,     0.00,    3.72041,  -112.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804794-1,    11.4868,   -55.27,          0,     0.00,          0,     0.00,          0,     0.00,    11.4868,   -55.27,    11.4871,   124.72,          0,     0.00,          0,     0.00,          0,     0.00,    11.4871,   124.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5654484-1,    1.43996,    66.69,          0,     0.00,          0,     0.00,          0,     0.00,    1.43996,    66.69,    1.44009,  -113.33,          0,     0.00,          0,     0.00,          0,     0.00,    1.44009,  -113.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774465-1,    2.60417,   -59.24,          0,     0.00,          0,     0.00,          0,     0.00,    2.60417,   -59.24,     2.6047,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,     2.6047,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5473349-1,    299.294,   -49.02,    303.164,  -170.99,    210.652,    80.21,          0,     0.00,    94.1817,  -135.62,    299.294,   130.98,    303.164,     9.01,    210.652,   -99.79,          0,     0.00,    94.1817,    44.38,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169253-1,    1.29748,   -59.61,          0,     0.00,          0,     0.00,          0,     0.00,    1.29748,   -59.61,    1.29773,   120.35,          0,     0.00,          0,     0.00,          0,     0.00,    1.29773,   120.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350536-1,   0.776022,   -59.73,          0,     0.00,          0,     0.00,          0,     0.00,   0.776022,   -59.73,   0.776774,   120.06,          0,     0.00,          0,     0.00,          0,     0.00,   0.776774,   120.06,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048523-1,    20.8454,    69.94,          0,     0.00,          0,     0.00,          0,     0.00,    20.8454,    69.94,    20.8459,  -110.07,          0,     0.00,          0,     0.00,          0,     0.00,    20.8459,  -110.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5594152-1,    23.1455,    69.98,          0,     0.00,          0,     0.00,          0,     0.00,    23.1455,    69.98,    23.1461,  -110.02,          0,     0.00,          0,     0.00,          0,     0.00,    23.1461,  -110.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865248-1,    47.2794,   -55.58,    51.2389,  -176.74,    19.1678,    65.22,          0,     0.00,    29.4899,  -123.79,    47.2797,   124.42,    51.2392,     3.25,     19.168,  -114.78,          0,     0.00,    29.4899,    56.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6046143-1,   0.558278,   179.93,          0,     0.00,          0,     0.00,          0,     0.00,   0.558278,   179.93,   0.558674,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,   0.558674,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5803287-1,    2.90444,    66.67,          0,     0.00,          0,     0.00,          0,     0.00,    2.90444,    66.67,    2.90454,  -113.34,          0,     0.00,          0,     0.00,          0,     0.00,    2.90454,  -113.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
