"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
48, 38614.9945835298, 12219.3493953222, 51888.6441101971, 54497.9134197545, 96.7748807209159, 347.779052785422, 127.286281385773
49, 35531.9296815198, 11164.1081357322, 51888.6441101971, 54497.9134197545, 91.4255496184162, 329.061642971233, 127.286281385773
50, 32921.678108575, 10284.4491671695, 51888.6441101971, 54497.9134197545, 89.7565422837986, 317.846202064578, 127.286281385773
51, 31078.6340444298, 9663.17781738584, 51888.6441101971, 54497.9134197545, 87.9104826130488, 309.556849306572, 127.286281385773
52, 29925.6791035544, 9272.42158641633, 51888.6441101971, 54497.9134197545, 87.0040414619721, 304.918222799306, 127.286281385773
53, 29131.9023978214, 8993.00421052322, 51888.6441101971, 54497.9134197545, 84.7646859913102, 299.737863108135, 127.286281385773
54, 28617.3735589256, 8829.74787305334, 51888.6441101971, 54497.9134197545, 85.4841361767721, 299.184358410369, 127.286281385773
55, 29034.3257613618, 8984.81791811489, 51888.6441101971, 54497.9134197545, 88.1938784735731, 303.833492120167, 127.286281385773
56, 31194.3388354398, 9725.92592532139, 51888.6441101971, 54497.9134197545, 91.4755683510413, 314.519846099564, 127.286281385773
57, 34485.351051064, 10843.0709202406, 51888.6441101971, 54497.9134197545, 94.197669649482, 328.875627170497, 127.286281385773
58, 38024.7854447308, 12040.6341114175, 51888.6441101971, 54497.9134197545, 97.6667914119874, 346.501009689531, 127.286281385773
59, 41547.0590982696, 13236.610994996, 51888.6441101971, 54497.9134197545, 103.320888776961, 368.560565957125, 127.286281385773
60, 44678.9874177844, 14279.2003886648, 51888.6441101971, 54497.9134197545, 103.30644385394, 382.92518291986, 127.286281385773
61, 47078.3351141832, 15093.6280565477, 51888.6441101971, 54497.9134197545, 106.729783825885, 399.291356532652, 127.286281385773
62, 50146.8751160748, 16104.5340469719, 51888.6441101971, 54497.9134197545, 103.737366435577, 411.69450997018, 127.286281385773
63, 51545.0753181782, 16570.2019429983, 51888.6441101971, 54497.9134197545, 103.595212692857, 419.40054119826, 127.286281385773
64, 52997.9564054146, 17050.4600722761, 52997.9564054146, 55673.1674312366, 102.96887510691, 427.122745965116, 127.286281385773
65, 53673.6906128854, 17278.0751491746, 53673.6906128854, 56386.1414256045, 103.498100381115, 431.908443856665, 127.286281385773
66, 53085.994046994, 17066.0911571722, 53673.6906128854, 56386.1414256045, 99.5837333562735, 423.217609251748, 127.286281385773
67, 52139.1235512765, 16779.4654884966, 53673.6906128854, 56386.1414256045, 107.803472674324, 428.505779018641, 127.286281385773
68, 50086.4146744322, 16090.7779822601, 53673.6906128854, 56386.1414256045, 107.048011106961, 415.84480860275, 127.286281385773
69, 50080.945891816, 16090.7253741373, 53673.6906128854, 56386.1414256045, 106.918473074726, 415.604486029131, 127.286281385773
70, 47459.6477683907, 15177.0133704203, 53673.6906128854, 56386.1414256045, 97.8856467515336, 389.779335903641, 127.286281385773
71, 45096.308331204, 14395.3784054709, 53673.6906128854, 56386.1414256045, 99.2599939803404, 379.713798254167, 127.286281385773
72, 42505.2974377386, 13505.6349965278, 53673.6906128854, 56386.1414256045, 94.0517037951504, 360.807694260246, 127.286281385773
73, 39624.5671723798, 12526.2126410246, 53673.6906128854, 56386.1414256045, 90.3968926836071, 343.620342132057, 127.286281385773
74, 37693.1750167754, 11881.1365327523, 53673.6906128854, 56386.1414256045, 89.9614310902412, 335.267829295118, 127.286281385773
75, 35623.1598257086, 11184.5681242188, 53673.6906128854, 56386.1414256045, 88.7769171380867, 325.927366958017, 127.286281385773
76, 34430.658191853, 10769.823948993, 53673.6906128854, 56386.1414256045, 85.8430325029295, 317.903993558597, 127.286281385773
77, 33548.0726947071, 10485.2739571443, 53673.6906128854, 56386.1414256045, 87.5957675820846, 317.135821553333, 127.286281385773
78, 32361.4428341933, 10096.9708296, 53673.6906128854, 56386.1414256045, 88.0464147423224, 313.754124205752, 127.286281385773
79, 30946.3564725298, 9639.50614274697, 53673.6906128854, 56386.1414256045, 90.3484852608322, 312.277447585572, 127.286281385773
80, 32941.8607935775, 10305.6491302812, 53673.6906128854, 56386.1414256045, 90.2623216324117, 318.490387531382, 127.286281385773
81, 36401.4726607995, 11454.4775866284, 53673.6906128854, 56386.1414256045, 90.1049030427811, 330.503987926687, 127.286281385773
82, 40686.7938931754, 12892.4562843843, 53673.6906128854, 56386.1414256045, 92.2646821314034, 350.463561225146, 127.286281385773
83, 44523.794571682, 14204.141362995, 53673.6906128854, 56386.1414256045, 98.9063684299997, 376.505860270741, 127.286281385773
84, 44409.3132335145, 14166.4045228203, 53673.6906128854, 56386.1414256045, 99.4825652553556, 376.761422398983, 127.286281385773
85, 44057.1010584385, 14035.0827860338, 53673.6906128854, 56386.1414256045, 95.6953944711666, 370.07711925504, 127.286281385773
86, 43019.18537152, 13688.1596656467, 53673.6906128854, 56386.1414256045, 95.8967742857727, 365.540306262893, 127.286281385773
87, 43921.1752519595, 13986.499045513, 53673.6906128854, 56386.1414256045, 95.5800603325523, 369.288801297933, 127.286281385773
88, 42852.6849350695, 13653.8422805684, 53673.6906128854, 56386.1414256045, 100.560420233406, 370.855515313763, 127.286281385773
89, 42540.0010100897, 13547.4249096927, 53673.6906128854, 56386.1414256045, 100.045996693378, 368.761242761545, 127.286281385773
90, 41343.682710807, 13167.7600887806, 53673.6906128854, 56386.1414256045, 105.957391376589, 371.144104085787, 127.286281385773
91, 40089.0094373819, 12769.9474289545, 53673.6906128854, 56386.1414256045, 110.875936353682, 372.16267943939, 127.286281385773
92, 39691.454720756, 12639.4982935913, 53673.6906128854, 56386.1414256045, 111.568189050892, 371.374444950507, 127.286281385773
93, 39996.7566177281, 12742.6191119852, 53673.6906128854, 56386.1414256045, 111.226784032472, 372.21718609619, 127.286281385773
94, 39043.2333737406, 12424.1000051021, 53673.6906128854, 56386.1414256045, 111.238137189375, 368.270852048849, 127.286281385773
95, 37564.2000876753, 11915.266024423, 53673.6906128854, 56386.1414256045, 107.347265893554, 357.28146992662, 127.286281385773
96, 36117.4971219527, 11437.9689289454, 53673.6906128854, 56386.1414256045, 108.26911333391, 352.990234086661, 127.286281385773
97, 33818.8709463465, 10660.1271843961, 53673.6906128854, 56386.1414256045, 104.744083853359, 340.205646167099, 127.286281385773
98, 32366.9506248654, 10144.3257724454, 53673.6906128854, 56386.1414256045, 97.6384837278959, 326.17866872165, 127.286281385773
99, 30838.3218479847, 9655.00306367032, 53673.6906128854, 56386.1414256045, 102.134912331159, 327.102715793074, 127.286281385773
100, 29264.055567819, 9113.86858775302, 53673.6906128854, 56386.1414256045, 97.8215213890049, 316.886016312357, 127.286281385773
101, 28747.1954326587, 8953.82723274492, 53673.6906128854, 56386.1414256045, 100.898539056009, 319.346729563892, 127.286281385773
102, 27737.4894785122, 8658.09717105417, 53673.6906128854, 56386.1414256045, 108.615315944126, 326.531981833272, 127.286281385773
103, 27626.6383579327, 8644.74972253574, 53673.6906128854, 56386.1414256045, 114.089618403304, 333.272861372363, 127.286281385773
104, 29286.1056472954, 9256.02100351529, 53673.6906128854, 56386.1414256045, 129.81725852554, 358.281930575336, 129.81725852554
105, 30799.8101300399, 9745.10645015841, 53673.6906128854, 56386.1414256045, 126.250742650347, 358.227197172774, 129.81725852554
106, 32797.256973637, 10431.1119851421, 53673.6906128854, 56386.1414256045, 133.777192248986, 374.375306034908, 133.777192248986
107, 34629.6278806825, 11057.0183637565, 53673.6906128854, 56386.1414256045, 138.583978088402, 386.947017533787, 138.583978088402
108, 34109.3406350458, 10881.0839294183, 53673.6906128854, 56386.1414256045, 139.574747920277, 386.335668741072, 139.574747920277
109, 36677.5148693406, 11749.504661745, 53673.6906128854, 56386.1414256045, 145.392877552536, 403.242722167004, 145.392877552536
110, 39997.6317688151, 12840.2281471877, 53673.6906128854, 56386.1414256045, 139.708539121094, 409.271997126067, 145.392877552536
111, 42974.5596309524, 13835.6730150605, 53673.6906128854, 56386.1414256045, 140.89607974768, 424.030255330592, 145.392877552536
112, 46012.0447116498, 14859.9920434853, 53673.6906128854, 56386.1414256045, 147.463747302724, 447.16123597109, 147.463747302724
113, 45518.687402514, 14698.0547707229, 53673.6906128854, 56386.1414256045, 147.463896448601, 444.712094266931, 147.463896448601
114, 45232.1544401949, 14601.7422965803, 53673.6906128854, 56386.1414256045, 149.406303369103, 445.710619910879, 149.406303369103
115, 39600.5079171196, 12745.9272435984, 53673.6906128854, 56386.1414256045, 155.294149598679, 427.720896647534, 155.294149598679
116, 39459.9523881512, 12680.7034511383, 53673.6906128854, 56386.1414256045, 148.479658344752, 418.292668572446, 155.294149598679
117, 39980.4745498916, 12821.1025051746, 53673.6906128854, 56386.1414256045, 137.661107270354, 406.392441800613, 155.294149598679
118, 38967.0677442581, 12479.5601734742, 53673.6906128854, 56386.1414256045, 135.452940618864, 399.34121317644, 155.294149598679
119, 36865.5122968415, 11769.2537889017, 53673.6906128854, 56386.1414256045, 130.922859868801, 385.180849267488, 155.294149598679
120, 34129.4875016875, 10839.6903386618, 53673.6906128854, 56386.1414256045, 124.976558153771, 367.448891370709, 155.294149598679
121, 32751.7031408565, 10367.8175398513, 53673.6906128854, 56386.1414256045, 121.150438866885, 357.793229923771, 155.294149598679
122, 30935.7510051007, 9731.03598614991, 53673.6906128854, 56386.1414256045, 113.541663911044, 342.086758136209, 155.294149598679
123, 29169.638527569, 9144.31260859358, 53673.6906128854, 56386.1414256045, 112.499030533962, 335.486510803219, 155.294149598679
124, 28255.6987748455, 8814.96376786482, 53673.6906128854, 56386.1414256045, 106.185368593379, 324.771429075356, 155.294149598679
125, 27930.6160095968, 8714.11146929494, 53673.6906128854, 56386.1414256045, 107.239316413908, 325.258284419646, 155.294149598679
126, 25926.3025727975, 8061.86279345081, 53673.6906128854, 56386.1414256045, 111.535671774409, 325.483028878753, 155.294149598679
127, 26332.8231247691, 8228.0462005311, 53673.6906128854, 56386.1414256045, 119.743655468139, 337.016618060444, 155.294149598679
128, 27825.363106594, 8723.95501261332, 53673.6906128854, 56386.1414256045, 118.704234904177, 339.707817584647, 155.294149598679
129, 31296.0252373142, 9936.59899125012, 53673.6906128854, 56386.1414256045, 133.710258187786, 369.476629417237, 155.294149598679
130, 34945.5654662959, 11130.471843717, 53673.6906128854, 56386.1414256045, 129.590708462214, 376.362472268211, 155.294149598679
131, 38526.8551415655, 12355.9970867906, 53673.6906128854, 56386.1414256045, 141.90621974952, 406.01467522881, 155.294149598679
132, 42165.8677174499, 13553.0525046535, 53673.6906128854, 56386.1414256045, 138.133012095756, 416.669857510839, 155.294149598679
133, 45551.0212384555, 14682.0226665748, 53673.6906128854, 56386.1414256045, 139.055958556111, 433.836074525741, 155.294149598679
134, 48853.8222932388, 15776.026949292, 53673.6906128854, 56386.1414256045, 136.53364480361, 447.684117004811, 155.294149598679
135, 51155.2450869963, 16543.3352398262, 53673.6906128854, 56386.1414256045, 138.059092077279, 462.392732038172, 155.294149598679
136, 52075.8886344906, 16814.1156474738, 53673.6906128854, 56386.1414256045, 126.141348796025, 452.10185093665, 155.294149598679
137, 52306.2724148311, 16906.8063639624, 53673.6906128854, 56386.1414256045, 131.553148157631, 460.525111411702, 155.294149598679
138, 52368.768598495, 16947.0904052983, 53673.6906128854, 56386.1414256045, 138.017545802174, 469.374859868471, 155.294149598679
139, 51851.5370797452, 16760.0727080314, 53673.6906128854, 56386.1414256045, 132.604660599529, 459.272539565322, 155.294149598679
140, 49502.2232929231, 15971.5191773485, 53673.6906128854, 56386.1414256045, 131.599950994862, 444.674249139263, 155.294149598679
141, 50447.8704426984, 16297.250670808, 53673.6906128854, 56386.1414256045, 133.23076377284, 452.110521443408, 155.294149598679
142, 48047.0976648247, 15469.1160232935, 53673.6906128854, 56386.1414256045, 123.45465610827, 426.315470423747, 155.294149598679
143, 45509.9121574622, 14614.6076877106, 53673.6906128854, 56386.1414256045, 121.931183456858, 411.315158968214, 155.294149598679
144, 42079.2243812836, 13445.1701420172, 53673.6906128854, 56386.1414256045, 114.115301640713, 385.03736319132, 155.294149598679
145, 39945.1001340219, 12709.0901376988, 53673.6906128854, 56386.1414256045, 107.558917424397, 367.249835929706, 155.294149598679
146, 37216.709927282, 11795.085144427, 53673.6906128854, 56386.1414256045, 106.804345232003, 355.263933021339, 155.294149598679
147, 35538.508519426, 11205.0623575138, 53673.6906128854, 56386.1414256045, 99.3258846596433, 339.303500552027, 155.294149598679
148, 34448.1456676017, 10874.0480991986, 53673.6906128854, 56386.1414256045, 106.778590913808, 344.999190732042, 155.294149598679
149, 33320.8907720904, 10494.9223445803, 53673.6906128854, 56386.1414256045, 104.884471741698, 338.687115085646, 155.294149598679
150, 32847.2594133899, 10360.9481639579, 53673.6906128854, 56386.1414256045, 110.095546168254, 343.844992454733, 155.294149598679
151, 33966.3457597623, 10785.8791508344, 53673.6906128854, 56386.1414256045, 123.842562588132, 365.459690287042, 155.294149598679
152, 35937.7071254854, 11463.818403461, 53673.6906128854, 56386.1414256045, 129.881315106226, 380.434952661619, 155.294149598679
153, 38972.6939147699, 12492.8955699789, 53673.6906128854, 56386.1414256045, 134.759583967171, 398.671475064029, 155.294149598679
154, 42428.8878579771, 13651.308792813, 53673.6906128854, 56386.1414256045, 136.600852014271, 416.037927286127, 155.294149598679
155, 45691.9213943144, 14726.3612392138, 53673.6906128854, 56386.1414256045, 136.626768140383, 431.462367684832, 155.294149598679
156, 48960.1625538071, 15810.32486488, 53673.6906128854, 56386.1414256045, 133.654761196185, 444.535843891713, 155.294149598679
157, 52505.5869065519, 15812.9288567928, 53673.6906128854, 56386.1414256045, 132.953237726664, 461.900169777625, 155.294149598679
158, 54376.9338960538, 16442.4013723071, 54376.9338960538, 56808.480905793, 133.361346216692, 473.584835474754, 155.294149598679
159, 56125.5529822833, 17016.9530898532, 56125.5529822833, 58648.5668199092, 128.949307631606, 478.664377024181, 155.294149598679
160, 57618.1601160363, 17513.0714361353, 57618.1601160363, 60220.9269796171, 127.484980185112, 486.393839830345, 155.294149598679
161, 57725.6098640171, 17524.758942097, 57725.6098640171, 60327.1349406825, 121.70299754111, 479.598578497817, 155.294149598679
162, 58126.9603777791, 17687.1149780001, 58126.9603777791, 60758.3538207291, 128.83530500719, 491.538446032602, 155.294149598679
163, 57399.9288784691, 17461.2837786106, 58126.9603777791, 60758.3538207291, 135.58429044219, 495.521577281508, 155.294149598679
164, 55730.638677475, 16867.5715274896, 58126.9603777791, 60758.3538207291, 126.882454603048, 473.514411065295, 155.294149598679
165, 55552.9675104956, 16820.7409096307, 58126.9603777791, 60758.3538207291, 129.413434228188, 475.693117030647, 155.294149598679
166, 52901.231316857, 15896.6930014354, 58126.9603777791, 60758.3538207291, 122.878134638022, 451.145622685501, 155.294149598679
167, 48947.8117946612, 14549.2282579278, 58126.9603777791, 60758.3538207291, 118.220875722643, 423.009991736633, 155.294149598679
168, 45570.4230737703, 13385.438142716, 58126.9603777791, 60758.3538207291, 112.885199855113, 398.930094651721, 155.294149598679
169, 41829.187555241, 13317.6246958041, 58126.9603777791, 60758.3538207291, 102.369545831997, 368.621611487219, 155.294149598679
170, 39880.0886864088, 12667.176725739, 58126.9603777791, 60758.3538207291, 103.156058418364, 361.226676522433, 155.294149598679
171, 37896.4492333922, 12004.108216418, 58126.9603777791, 60758.3538207291, 101.970455894084, 351.646760001412, 155.294149598679
172, 36677.5696772287, 11595.1738940613, 58126.9603777791, 60758.3538207291, 101.820000072687, 346.741147124521, 155.294149598679
173, 35870.8481376348, 11310.6524895994, 58126.9603777791, 60758.3538207291, 98.1517302408695, 338.966296587421, 155.294149598679
174, 35259.9375177748, 11137.5923162489, 58126.9603777791, 60758.3538207291, 103.884979846868, 344.180392469389, 155.294149598679
175, 35927.6613597165, 11404.3707129506, 58126.9603777791, 60758.3538207291, 114.38714431418, 360.23185525546, 155.294149598679
176, 38507.135386625, 12286.8823561756, 58126.9603777791, 60758.3538207291, 119.030542286545, 376.286284077283, 155.294149598679
177, 41525.75532068, 13327.8675861864, 58126.9603777791, 60758.3538207291, 127.789870562494, 400.480328322344, 155.294149598679
178, 44913.6824395902, 14447.6797425302, 58126.9603777791, 60758.3538207291, 126.014276352995, 413.819801209816, 155.294149598679
179, 48915.8164166792, 15800.6981011467, 58126.9603777791, 60758.3538207291, 132.673522749428, 443.035308320132, 155.294149598679
180, 52016.3470951997, 15694.1381398743, 58126.9603777791, 60758.3538207291, 142.978668812955, 472.118145435717, 155.294149598679
181, 53355.7044564825, 16093.0501754283, 58126.9603777791, 60758.3538207291, 129.938933669643, 462.960866691547, 155.294149598679
182, 55721.5054514662, 16905.0247881877, 58126.9603777791, 60758.3538207291, 133.226211600311, 481.694303065702, 155.294149598679
183, 57203.6900353433, 17388.727298733, 58126.9603777791, 60758.3538207291, 129.277498575679, 485.953331606513, 155.294149598679
184, 58415.9201465997, 17785.1128403263, 58415.9201465997, 61063.327499548, 126.694401789646, 490.585683576934, 155.294149598679
185, 59439.4353938964, 18120.1728865282, 59439.4353938964, 62140.0607127387, 124.630646269321, 494.829070338455, 155.294149598679
186, 59257.3100817111, 18066.1384549584, 59439.4353938964, 62140.0607127387, 126.0668254984, 495.41629154744, 155.294149598679
187, 57923.685660937, 17651.7582677709, 59439.4353938964, 62140.0607127387, 137.962013950936, 502.019445547834, 155.294149598679
188, 56570.9139894239, 17185.5467802689, 59439.4353938964, 62140.0607127387, 135.109721415551, 489.570907253324, 155.294149598679
189, 56796.2692312382, 17265.9001105234, 59439.4353938964, 62140.0607127387, 136.73492112618, 493.064593320045, 155.294149598679
190, 54338.3484034994, 16410.791603001, 59439.4353938964, 62140.0607127387, 128.665309412078, 467.223627268095, 155.294149598679
191, 50270.2666227972, 15048.1114529932, 59439.4353938964, 62140.0607127387, 130.57355809708, 446.14744040752, 155.294149598679
192, 47038.5377144632, 13946.7450384023, 59439.4353938964, 62140.0607127387, 126.538754343146, 423.851173133317, 155.294149598679
193, 43917.9732908692, 12855.2348714114, 59439.4353938964, 62140.0607127387, 116.835856307177, 396.193327477386, 155.294149598679
194, 41712.745281057, 12117.6718367153, 59439.4353938964, 62140.0607127387, 116.516126908959, 385.855617594483, 155.294149598679
195, 40555.2496514387, 12927.6429643513, 59439.4353938964, 62140.0607127387, 109.965183026273, 372.951100672687, 155.294149598679
196, 39173.9664228835, 12478.7575279338, 59439.4353938964, 62140.0607127387, 111.971640017807, 369.787383079484, 155.294149598679
197, 39174.8672637676, 12491.6739718557, 59439.4353938964, 62140.0607127387, 115.970795695728, 374.962327774462, 155.294149598679
198, 38766.3647125979, 12369.1800370462, 59439.4353938964, 62140.0607127387, 119.131793936005, 377.433622044315, 155.294149598679
199, 39392.3115276549, 12627.7970753619, 59439.4353938964, 62140.0607127387, 132.539785859122, 397.52475399145, 155.294149598679
200, 40586.923173848, 13044.0424760301, 59439.4353938964, 62140.0607127387, 138.669631028661, 410.56206363436, 155.294149598679
201, 41344.7708209124, 13308.334791011, 59439.4353938964, 62140.0607127387, 140.354298080424, 416.114447168664, 155.294149598679
202, 43787.9942677436, 14115.9341812659, 59439.4353938964, 62140.0607127387, 139.29002165994, 425.832591362372, 155.294149598679
203, 47632.7216406444, 15410.5331370459, 59439.4353938964, 62140.0607127387, 144.809016117832, 452.157819777391, 155.294149598679
204, 50416.1700844276, 16298.0263712197, 59439.4353938964, 62140.0607127387, 131.294578433638, 449.392737413375, 155.294149598679
205, 51322.2084011942, 16593.5401142802, 59439.4353938964, 62140.0607127387, 129.790231378955, 452.539123403839, 155.294149598679
206, 46180.0331804447, 14847.020757768, 59439.4353938964, 62140.0607127387, 121.330480442903, 413.934361342192, 155.294149598679
207, 43666.2404076, 14010.1924853233, 59439.4353938964, 62140.0607127387, 120.516223782756, 400.66765243205, 155.294149598679
208, 43271.9141395159, 13853.3851077211, 59439.4353938964, 62140.0607127387, 114.04619616563, 390.381239160451, 155.294149598679
209, 42057.7985982564, 13432.098286745, 59439.4353938964, 62140.0607127387, 109.843371169213, 379.379474942087, 155.294149598679
210, 41323.5541818402, 13181.3042867369, 59439.4353938964, 62140.0607127387, 108.253392285843, 374.061748559854, 155.294149598679
211, 42032.8811181176, 13443.4995355202, 59439.4353938964, 62140.0607127387, 115.745009539188, 386.937718189323, 155.294149598679
212, 40677.1370407756, 12969.6655015175, 59439.4353938964, 62140.0607127387, 109.842029555086, 373.331080174967, 155.294149598679
213, 41852.3046309893, 13347.3569651906, 59439.4353938964, 62140.0607127387, 107.163492276042, 374.95261947724, 155.294149598679
214, 40906.0048141303, 13014.0707738902, 59439.4353938964, 62140.0607127387, 102.341617942982, 364.553600254746, 155.294149598679
215, 38366.264922603, 12166.3656285231, 59439.4353938964, 62140.0607127387, 101.623515759289, 353.074598772826, 155.294149598679
216, 36118.4321761907, 11416.2212156397, 59439.4353938964, 62140.0607127387, 101.855273839323, 344.725747051169, 155.294149598679
217, 33925.3836660992, 10665.7474857025, 59439.4353938964, 62140.0607127387, 96.7510747398883, 330.265420668785, 155.294149598679
218, 32394.7462800317, 10142.7349273803, 59439.4353938964, 62140.0607127387, 94.2637839115241, 321.907394111115, 155.294149598679
219, 31493.4413365189, 9832.12361431183, 59439.4353938964, 62140.0607127387, 92.2082932362225, 316.393232342921, 155.294149598679
220, 29929.7537757723, 9310.35743513604, 59439.4353938964, 62140.0607127387, 91.3051155196015, 310.401664648404, 155.294149598679
221, 29954.4349934399, 9313.69407840969, 59439.4353938964, 62140.0607127387, 90.1749283439269, 309.018049463669, 155.294149598679
222, 30527.7703292514, 9512.11452845023, 59439.4353938964, 62140.0607127387, 91.3192995985049, 312.21260674581, 155.294149598679
223, 30861.376066802, 9637.65178033192, 59439.4353938964, 62140.0607127387, 93.8626702130134, 316.52703287103, 155.294149598679
224, 31971.5525686543, 10026.6620095169, 59439.4353938964, 62140.0607127387, 97.3899347382718, 324.570578208376, 155.294149598679
